,unit_key,อำเภอ,ตำบล,หน่วย,รายการ,คะแนน
88,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_15,อำเภอบ้านด่าน,ตำบลปราสาท,8,ไม่เห็นชอบ,114
89,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_15,อำเภอบ้านด่าน,ตำบลปราสาท,8,ไม่แสดงความคิดเห็น,33
90,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_17,อำเภอบ้านด่าน,ตำบลปราสาท,9,เห็นชอบ,162
91,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_17,อำเภอบ้านด่าน,ตำบลปราสาท,9,ไม่เห็นชอบ,75
92,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_17,อำเภอบ้านด่าน,ตำบลปราสาท,9,ไม่แสดงความคิดเห็น,3950
93,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_19,อำเภอบ้านด่าน,ตำบลปราสาท,10,เห็นชอบ,251
94,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_19,อำเภอบ้านด่าน,ตำบลปราสาท,10,ไม่เห็นชอบ,147
95,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_19,อำเภอบ้านด่าน,ตำบลปราสาท,10,ไม่แสดงความคิดเห็น,229
96,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_21,อำเภอบ้านด่าน,ตำบลปราสาท,11,เห็นชอบ,150
97,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_21,อำเภอบ้านด่าน,ตำบลปราสาท,11,ไม่เห็นชอบ,129
98,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_21,อำเภอบ้านด่าน,ตำบลปราสาท,11,ไม่แสดงความคิดเห็น,28
99,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_23,อำเภอบ้านด่าน,ตำบลปราสาท,12,เห็นชอบ,102
100,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_23,อำเภอบ้านด่าน,ตำบลปราสาท,12,ไม่เห็นชอบ,54
101,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_23,อำเภอบ้านด่าน,ตำบลปราสาท,12,ไม่แสดงความคิดเห็น,21
102,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_25,อำเภอบ้านด่าน,ตำบลปราสาท,13,เห็นชอบ,158
103,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_25,อำเภอบ้านด่าน,ตำบลปราสาท,13,ไม่เห็นชอบ,79
104,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_25,อำเภอบ้านด่าน,ตำบลปราสาท,13,ไม่แสดงความคิดเห็น,25
105,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_27,อำเภอบ้านด่าน,ตำบลปราสาท,14,เห็นชอบ,107
106,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_27,อำเภอบ้านด่าน,ตำบลปราสาท,14,ไม่เห็นชอบ,98
107,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_27,อำเภอบ้านด่าน,ตำบลปราสาท,14,ไม่แสดงความคิดเห็น,23
108,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_29,อำเภอบ้านด่าน,ตำบลปราสาท,15,เห็นชอบ,119
109,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_29,อำเภอบ้านด่าน,ตำบลปราสาท,15,ไม่เห็นชอบ,85
110,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_29,อำเภอบ้านด่าน,ตำบลปราสาท,15,ไม่แสดงความคิดเห็น,25
111,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_31,อำเภอบ้านด่าน,ตำบลปราสาท,16,เห็นชอบ,95
112,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_31,อำเภอบ้านด่าน,ตำบลปราสาท,16,ไม่เห็นชอบ,62
113,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_31,อำเภอบ้านด่าน,ตำบลปราสาท,16,ไม่แสดงความคิดเห็น,20
114,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_1,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,1,เห็นชอบ,97
115,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_1,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,1,ไม่เห็นชอบ,100
116,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_1,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,1,ไม่แสดงความคิดเห็น,24
117,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_3,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,2,เห็นชอบ,247
118,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_3,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,2,ไม่เห็นชอบ,202
119,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_3,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,2,ไม่แสดงความคิดเห็น,45
120,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_5,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,3,เห็นชอบ,222
121,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_5,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,3,ไม่เห็นชอบ,123
122,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_5,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,3,ไม่แสดงความคิดเห็น,26
123,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_7,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,4,เห็นชอบ,85
124,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_7,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,4,ไม่เห็นชอบ,85
125,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_7,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,4,ไม่แสดงความคิดเห็น,19
126,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_9,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,5,เห็นชอบ,103
127,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_9,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,5,ไม่เห็นชอบ,74
128,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_9,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,5,ไม่แสดงความคิดเห็น,20
129,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_11,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,6,เห็นชอบ,75
130,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_11,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,6,ไม่เห็นชอบ,67
131,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_11,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,6,ไม่แสดงความคิดเห็น,24
132,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_13,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,7,เห็นชอบ,229
133,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_13,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,7,ไม่เห็นชอบ,155
134,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_13,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,7,ไม่แสดงความคิดเห็น,64
135,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_15,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,8,เห็นชอบ,148
136,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_15,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,8,ไม่เห็นชอบ,120
137,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_15,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,8,ไม่แสดงความคิดเห็น,39
138,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_17,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,9,เห็นชอบ,0
139,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_17,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,9,ไม่เห็นชอบ,0
140,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_17,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,9,ไม่แสดงความคิดเห็น,0
141,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_19,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,10,เห็นชอบ,201
142,referendum/inside/อำเภอเมืองบุรีรัมย์/ตำบลกระสัง_19,อำเภอเมืองบุรีรัมย์,ตำบลกระสัง,10,ไม่เห็นชอบ,122
